,width,module,t,l1,optimizer,lr
127,3,,2,0.025820519775152206,sgd,0.1
128,3,kernel,3,0.00034009903902187943,sgd,0.1
129,3,up_project,3,0.2782270610332489,sgd,0.1
130,3,down_project,3,0.05162506178021431,sgd,0.1
131,3,,3,0.05162506178021431,sgd,0.1
132,384,kernel,1,0.00034288608003407717,sgd,0.1
133,384,up_project,1,0.36489546298980713,sgd,0.1
134,384,down_project,1,0.0,sgd,0.1
135,384,,1,0.0,sgd,0.1
136,384,kernel,2,0.00034288608003407717,sgd,0.1
137,384,up_project,2,0.36489546298980713,sgd,0.1
138,384,down_project,2,0.06031198054552078,sgd,0.1
139,384,,2,0.06031198054552078,sgd,0.1
140,384,kernel,3,0.0003502611070871353,sgd,0.1
141,384,up_project,3,1.2224915027618408,sgd,0.1
142,384,down_project,3,23.906570434570312,sgd,0.1
143,384,,3,23.906570434570312,sgd,0.1
144,1000,kernel,1,0.0002515144005883485,sgd,0.1
145,1000,up_project,1,0.34184497594833374,sgd,0.1
146,1000,down_project,1,0.0,sgd,0.1
147,1000,,1,0.0,sgd,0.1
148,1000,kernel,2,0.0002515144005883485,sgd,0.1
149,1000,up_project,2,0.34184497594833374,sgd,0.1
150,1000,down_project,2,0.018286556005477905,sgd,0.1
151,1000,,2,0.018286556005477905,sgd,0.1
152,1000,kernel,3,0.00025163174723275006,sgd,0.1
153,1000,up_project,3,0.4083656072616577,sgd,0.1
154,1000,down_project,3,0.9593247175216675,sgd,0.1
155,1000,,3,0.9593247175216675,sgd,0.1
156,3000,kernel,1,0.004317161161452532,sgd,0.1
157,3000,up_project,1,0.3419244885444641,sgd,0.1
158,3000,down_project,1,0.0,sgd,0.1
159,3000,,1,0.0,sgd,0.1
160,3000,kernel,2,0.004317161161452532,sgd,0.1
161,3000,up_project,2,0.3419244885444641,sgd,0.1
162,3000,down_project,2,9.526308059692383,sgd,0.1
163,3000,,2,9.526308059692383,sgd,0.1
164,3000,kernel,3,0.004317161161452532,sgd,0.1
165,3000,up_project,3,0.3419244885444641,sgd,0.1
166,3000,down_project,3,9.526308059692383,sgd,0.1
167,3000,,3,9.526308059692383,sgd,0.1
168,5000,kernel,1,0.00029852293664589524,sgd,0.1
169,5000,up_project,1,0.3463633358478546,sgd,0.1
170,5000,down_project,1,0.0,sgd,0.1
171,5000,,1,0.0,sgd,0.1
172,5000,kernel,2,0.00029852293664589524,sgd,0.1
173,5000,up_project,2,0.3463633358478546,sgd,0.1
174,5000,down_project,2,2.0816922187805176,sgd,0.1
175,5000,,2,2.0816922187805176,sgd,0.1
176,5000,kernel,3,0.00029853315209038556,sgd,0.1
177,5000,up_project,3,0.34657710790634155,sgd,0.1
178,5000,down_project,3,11.30237865447998,sgd,0.1
179,5000,,3,11.30237865447998,sgd,0.1
